token,arc_hour_close_strict,arc_min_close_strict,arc_sec_close_strict,arc_loose_any,prime_top5_ge_0_60,prime_delta_mean_le_1_5,crt_any_corridor,has_any_bridge,has_residue_bridge,has_prime_tunnel,key_dispersion_W80,key_dispersion_le_1,gate_A_arc_strict,gate_B_prime,gate_C_collapse,gate_D_arc_loose_bridge,accepted,accepted_by
11,True,False,False,True,False,False,True,True,True,True,3,False,True,False,False,True,True,gate_A_arc_strict|gate_D_arc_loose_bridge
20,True,False,True,True,False,False,True,True,True,True,3,False,True,False,False,True,True,gate_A_arc_strict|gate_D_arc_loose_bridge
25,True,False,True,True,False,False,True,True,True,True,3,False,True,False,False,True,True,gate_A_arc_strict|gate_D_arc_loose_bridge
30,True,False,True,True,False,False,True,True,True,True,3,False,True,False,False,True,True,gate_A_arc_strict|gate_D_arc_loose_bridge
3f,True,True,False,True,False,False,True,True,True,True,3,False,True,False,False,True,True,gate_A_arc_strict|gate_D_arc_loose_bridge
4f,True,True,False,True,False,False,True,True,True,True,3,False,True,False,False,True,True,gate_A_arc_strict|gate_D_arc_loose_bridge
60,True,True,True,True,False,False,True,True,True,True,3,False,True,False,False,True,True,gate_A_arc_strict|gate_D_arc_loose_bridge
CATALOG_NIEMEIER_24,True,False,False,True,False,False,True,True,True,True,3,False,True,False,False,True,True,gate_A_arc_strict|gate_D_arc_loose_bridge
CODE_GOLAY_EXTENDED,True,True,False,True,False,False,True,True,True,True,3,False,True,False,False,True,True,gate_A_arc_strict|gate_D_arc_loose_bridge
CONSTRUCTION_A_TEMPLATE,True,True,False,True,False,False,True,True,True,True,3,False,True,False,False,True,True,gate_A_arc_strict|gate_D_arc_loose_bridge
CONWAY_GROUPS_AUT_LEECH,False,False,True,True,False,False,True,True,True,True,3,False,True,False,False,True,True,gate_A_arc_strict|gate_D_arc_loose_bridge
DEEPPHOLE_LEECH_23_ORBITS,False,True,True,True,False,False,True,True,True,True,3,False,True,False,False,True,True,gate_A_arc_strict|gate_D_arc_loose_bridge
E8_ROOT_SYSTEM_240,False,True,False,True,False,False,True,True,True,True,3,False,True,False,False,True,True,gate_A_arc_strict|gate_D_arc_loose_bridge
E8_THETA_WEIGHT4,True,True,False,True,False,False,True,True,True,True,3,False,True,False,False,True,True,gate_A_arc_strict|gate_D_arc_loose_bridge
GROTH_SHEAF_GLUE,False,True,True,True,False,False,True,True,True,True,3,False,True,False,False,True,True,gate_A_arc_strict|gate_D_arc_loose_bridge
HODGE_SPLIT_GRAPH,False,True,False,True,False,False,True,True,True,True,3,False,True,False,False,True,True,gate_A_arc_strict|gate_D_arc_loose_bridge
II_25_1_LORENTZ_CUT,True,True,True,True,False,False,True,True,True,True,3,False,True,False,False,True,True,gate_A_arc_strict|gate_D_arc_loose_bridge
KOL_MDL_DELTA,True,False,True,True,False,False,True,True,True,True,3,False,True,False,False,True,True,gate_A_arc_strict|gate_D_arc_loose_bridge
LAMINATED_LATTICES_SEQ,False,False,True,True,False,False,True,True,True,True,3,False,True,False,False,True,True,gate_A_arc_strict|gate_D_arc_loose_bridge
LEECH_MIN_SHELL_196560,False,False,True,True,False,False,True,True,True,True,3,False,True,False,False,True,True,gate_A_arc_strict|gate_D_arc_loose_bridge
LEECH_NO_ROOTS_MIN4,False,False,False,True,False,False,True,True,True,True,3,False,False,False,False,True,True,gate_D_arc_loose_bridge
NOETHER_CONSERVATION,False,False,True,True,False,False,True,True,True,True,3,False,True,False,False,True,True,gate_A_arc_strict|gate_D_arc_loose_bridge
PARITY_64BIT_LANES,False,False,True,True,False,False,True,True,True,True,3,False,True,False,False,True,True,gate_A_arc_strict|gate_D_arc_loose_bridge
PROOF_E8_DENSEST_AM2017,False,True,False,True,False,False,True,True,True,True,3,False,True,False,False,True,True,gate_A_arc_strict|gate_D_arc_loose_bridge
PROOF_LEECH_DENSEST_AM2017,True,True,True,True,False,False,True,True,True,True,3,False,True,False,False,True,True,gate_A_arc_strict|gate_D_arc_loose_bridge
PROOF_UNIVERSAL_OPTIMALITY_AM2022,True,True,False,True,False,False,True,True,True,True,3,False,True,False,False,True,True,gate_A_arc_strict|gate_D_arc_loose_bridge
SMT_GODEL_GATES,True,True,False,True,False,False,True,True,True,True,3,False,True,False,False,True,True,gate_A_arc_strict|gate_D_arc_loose_bridge
SPECTRAL_GAP_RAYLEIGH,True,True,False,True,False,False,True,True,True,True,3,False,True,False,False,True,True,gate_A_arc_strict|gate_D_arc_loose_bridge
TURYN_3xE8_TO_LEECH,True,True,True,True,False,False,True,True,True,True,3,False,True,False,False,True,True,gate_A_arc_strict|gate_D_arc_loose_bridge
UQ_CONFORMAL_90COVERAGE,False,True,True,True,False,False,True,True,True,True,3,False,True,False,False,True,True,gate_A_arc_strict|gate_D_arc_loose_bridge
WAVELET_FOURIER_SLICE,True,True,True,True,False,False,True,True,True,True,3,False,True,False,False,True,True,gate_A_arc_strict|gate_D_arc_loose_bridge
about,False,True,False,True,False,False,True,True,True,True,3,False,True,False,False,True,True,gate_A_arc_strict|gate_D_arc_loose_bridge
abs,False,True,False,True,False,False,True,True,True,True,3,False,True,False,False,True,True,gate_A_arc_strict|gate_D_arc_loose_bridge
across,False,False,True,True,False,False,True,True,True,True,3,False,True,False,False,True,True,gate_A_arc_strict|gate_D_arc_loose_bridge
act,False,True,False,True,False,False,True,True,True,True,3,False,True,False,False,True,True,gate_A_arc_strict|gate_D_arc_loose_bridge
action,True,True,False,True,False,False,True,True,True,True,3,False,True,False,False,True,True,gate_A_arc_strict|gate_D_arc_loose_bridge
add,True,True,True,True,False,False,True,True,True,True,3,False,True,False,False,True,True,gate_A_arc_strict|gate_D_arc_loose_bridge
additional,True,True,True,True,False,False,True,True,True,True,3,False,True,False,False,True,True,gate_A_arc_strict|gate_D_arc_loose_bridge
after,True,False,True,True,False,False,True,True,True,True,3,False,True,False,False,True,True,gate_A_arc_strict|gate_D_arc_loose_bridge
also,False,True,True,True,False,False,True,True,True,True,3,False,True,False,False,True,True,gate_A_arc_strict|gate_D_arc_loose_bridge
an,False,True,True,True,False,False,True,True,True,True,3,False,True,False,False,True,True,gate_A_arc_strict|gate_D_arc_loose_bridge
analyze,False,True,True,True,False,False,True,True,True,True,3,False,True,False,False,True,True,gate_A_arc_strict|gate_D_arc_loose_bridge
applications,False,True,False,True,False,False,True,True,True,True,3,False,True,False,False,True,True,gate_A_arc_strict|gate_D_arc_loose_bridge
are,False,True,False,True,False,False,True,True,True,True,3,False,True,False,False,True,True,gate_A_arc_strict|gate_D_arc_loose_bridge
as,False,False,True,True,False,False,True,True,True,True,3,False,True,False,False,True,True,gate_A_arc_strict|gate_D_arc_loose_bridge
atom,False,True,True,True,False,False,True,True,True,True,3,False,True,False,False,True,True,gate_A_arc_strict|gate_D_arc_loose_bridge
available,False,True,False,True,False,False,True,True,True,True,3,False,True,False,False,True,True,gate_A_arc_strict|gate_D_arc_loose_bridge
ax1,True,False,False,True,False,False,True,True,True,True,3,False,True,False,False,True,True,gate_A_arc_strict|gate_D_arc_loose_bridge
base,True,True,True,True,False,False,True,True,True,True,3,False,True,False,False,True,True,gate_A_arc_strict|gate_D_arc_loose_bridge
baseline,True,True,True,True,False,False,True,True,True,True,3,False,True,False,False,True,True,gate_A_arc_strict|gate_D_arc_loose_bridge
basic,True,False,True,True,False,False,True,True,True,True,3,False,True,False,False,True,True,gate_A_arc_strict|gate_D_arc_loose_bridge
becomes,False,True,True,True,False,False,True,True,True,True,3,False,True,False,False,True,True,gate_A_arc_strict|gate_D_arc_loose_bridge
before,False,True,True,True,False,False,True,True,True,True,3,False,True,False,False,True,True,gate_A_arc_strict|gate_D_arc_loose_bridge
between,False,True,True,True,False,False,True,True,True,True,3,False,True,False,False,True,True,gate_A_arc_strict|gate_D_arc_loose_bridge
bonus,False,False,True,True,False,False,True,True,True,True,3,False,True,False,False,True,True,gate_A_arc_strict|gate_D_arc_loose_bridge
bouncing,False,False,False,True,False,False,True,True,True,True,3,False,False,False,False,True,True,gate_D_arc_loose_bridge
by,False,True,False,True,False,False,True,True,True,True,3,False,True,False,False,True,True,gate_A_arc_strict|gate_D_arc_loose_bridge
canvas,False,True,True,True,False,False,True,True,True,True,3,False,True,False,False,True,True,gate_A_arc_strict|gate_D_arc_loose_bridge
capacity,False,True,True,True,False,False,True,True,True,True,3,False,True,False,False,True,True,gate_A_arc_strict|gate_D_arc_loose_bridge
cartan,True,False,True,True,False,False,True,True,True,True,3,False,True,False,False,True,True,gate_A_arc_strict|gate_D_arc_loose_bridge
chamber,False,True,True,True,False,False,True,True,True,True,3,False,True,False,False,True,True,gate_A_arc_strict|gate_D_arc_loose_bridge
channels,True,True,True,True,False,False,True,True,True,True,3,False,True,False,False,True,True,gate_A_arc_strict|gate_D_arc_loose_bridge
characteristics,False,False,True,True,False,False,True,True,True,True,3,False,True,False,False,True,True,gate_A_arc_strict|gate_D_arc_loose_bridge
chatgpt,False,False,True,True,False,False,True,True,True,True,3,False,True,False,False,True,True,gate_A_arc_strict|gate_D_arc_loose_bridge
color,True,False,True,True,False,False,True,True,True,True,3,False,True,False,False,True,True,gate_A_arc_strict|gate_D_arc_loose_bridge
complete,False,True,False,True,False,False,True,True,True,True,3,False,True,False,False,True,True,gate_A_arc_strict|gate_D_arc_loose_bridge
complex,False,False,False,True,False,False,True,True,True,True,3,False,False,False,False,True,True,gate_D_arc_loose_bridge
component,False,True,False,True,False,False,True,True,True,True,3,False,True,False,False,True,True,gate_A_arc_strict|gate_D_arc_loose_bridge
computational,False,False,True,True,False,False,True,True,True,True,3,False,True,False,False,True,True,gate_A_arc_strict|gate_D_arc_loose_bridge
conditions,False,False,True,True,False,False,True,True,True,True,3,False,True,False,False,True,True,gate_A_arc_strict|gate_D_arc_loose_bridge
context,False,True,False,True,False,False,True,True,True,True,3,False,True,False,False,True,True,gate_A_arc_strict|gate_D_arc_loose_bridge
control,True,True,False,True,False,False,True,True,True,True,3,False,True,False,False,True,True,gate_A_arc_strict|gate_D_arc_loose_bridge
copy,True,True,False,True,False,False,True,True,True,True,3,False,True,False,False,True,True,gate_A_arc_strict|gate_D_arc_loose_bridge
could,True,False,True,True,False,False,True,True,True,True,3,False,True,False,False,True,True,gate_A_arc_strict|gate_D_arc_loose_bridge
creative,True,True,True,True,False,False,True,True,True,True,3,False,True,False,False,True,True,gate_A_arc_strict|gate_D_arc_loose_bridge
criteria,False,True,True,True,False,False,True,True,True,True,3,False,True,False,False,True,True,gate_A_arc_strict|gate_D_arc_loose_bridge
critical,False,False,True,True,False,False,True,True,True,True,3,False,True,False,False,True,True,gate_A_arc_strict|gate_D_arc_loose_bridge
database,True,True,True,True,False,False,True,True,True,True,3,False,True,False,False,True,True,gate_A_arc_strict|gate_D_arc_loose_bridge
de,True,True,True,True,False,False,True,True,True,True,3,False,True,False,False,True,True,gate_A_arc_strict|gate_D_arc_loose_bridge
default,False,False,False,True,False,False,True,True,True,True,3,False,False,False,False,True,True,gate_D_arc_loose_bridge
define,False,True,False,True,False,False,True,True,True,True,3,False,True,False,False,True,True,gate_A_arc_strict|gate_D_arc_loose_bridge
dict,False,True,True,True,False,False,True,True,True,True,3,False,True,False,False,True,True,gate_A_arc_strict|gate_D_arc_loose_bridge
discovery,False,False,True,True,False,False,True,True,True,True,3,False,True,False,False,True,True,gate_A_arc_strict|gate_D_arc_loose_bridge
do,True,True,False,True,False,False,True,True,True,True,3,False,True,False,False,True,True,gate_A_arc_strict|gate_D_arc_loose_bridge
documentation,True,True,False,True,False,False,True,True,True,True,3,False,True,False,False,True,True,gate_A_arc_strict|gate_D_arc_loose_bridge
domain_context,True,True,True,True,False,False,True,True,True,True,3,False,True,False,False,True,True,gate_A_arc_strict|gate_D_arc_loose_bridge
dtt,True,False,True,True,False,False,True,True,True,True,3,False,True,False,False,True,True,gate_A_arc_strict|gate_D_arc_loose_bridge
due,False,False,True,True,False,False,True,True,True,True,3,False,True,False,False,True,True,gate_A_arc_strict|gate_D_arc_loose_bridge
during,False,True,True,True,False,False,True,True,True,True,3,False,True,False,False,True,True,gate_A_arc_strict|gate_D_arc_loose_bridge
efficiency,False,True,True,True,False,False,True,True,True,True,3,False,True,False,False,True,True,gate_A_arc_strict|gate_D_arc_loose_bridge
empty,False,True,True,True,False,False,True,True,True,True,3,False,True,False,False,True,True,gate_A_arc_strict|gate_D_arc_loose_bridge
enhanced,False,True,True,True,False,False,True,True,True,True,3,False,True,False,False,True,True,gate_A_arc_strict|gate_D_arc_loose_bridge
entire,False,True,False,True,False,False,True,True,True,True,3,False,True,False,False,True,True,gate_A_arc_strict|gate_D_arc_loose_bridge
environment,False,False,False,True,False,False,True,True,True,True,3,False,False,False,False,True,True,gate_D_arc_loose_bridge
evidence_level,False,True,True,True,False,False,True,True,True,True,3,False,True,False,False,True,True,gate_A_arc_strict|gate_D_arc_loose_bridge
execution,True,True,True,True,False,False,True,True,True,True,3,False,True,False,False,True,True,gate_A_arc_strict|gate_D_arc_loose_bridge
execution_time,True,False,False,True,False,False,True,True,True,True,3,False,True,False,False,True,True,gate_A_arc_strict|gate_D_arc_loose_bridge
existing,True,False,False,True,False,False,True,True,True,True,3,False,True,False,False,True,True,gate_A_arc_strict|gate_D_arc_loose_bridge
exploration,True,True,False,True,False,False,True,True,True,True,3,False,True,False,False,True,True,gate_A_arc_strict|gate_D_arc_loose_bridge
exploring,False,True,True,True,False,False,True,True,True,True,3,False,True,False,False,True,True,gate_A_arc_strict|gate_D_arc_loose_bridge
extensions,False,True,True,True,False,False,True,True,True,True,3,False,True,False,False,True,True,gate_A_arc_strict|gate_D_arc_loose_bridge
final,False,True,True,True,False,False,True,True,True,True,3,False,True,False,False,True,True,gate_A_arc_strict|gate_D_arc_loose_bridge
focus,False,True,True,True,False,False,True,True,True,True,3,False,True,False,False,True,True,gate_A_arc_strict|gate_D_arc_loose_bridge
for,True,True,True,True,False,False,True,True,True,True,3,False,True,False,False,True,True,gate_A_arc_strict|gate_D_arc_loose_bridge
form,True,False,True,True,False,False,True,True,True,True,3,False,True,False,False,True,True,gate_A_arc_strict|gate_D_arc_loose_bridge
formula,True,True,False,True,False,False,True,True,True,True,3,False,True,False,False,True,True,gate_A_arc_strict|gate_D_arc_loose_bridge
forward,True,True,False,True,False,False,True,True,True,True,3,False,True,False,False,True,True,gate_A_arc_strict|gate_D_arc_loose_bridge
found,True,False,True,True,False,False,True,True,True,True,3,False,True,False,False,True,True,gate_A_arc_strict|gate_D_arc_loose_bridge
framework,True,True,True,True,False,False,True,True,True,True,3,False,True,False,False,True,True,gate_A_arc_strict|gate_D_arc_loose_bridge
full,False,True,True,True,False,False,True,True,True,True,3,False,True,False,False,True,True,gate_A_arc_strict|gate_D_arc_loose_bridge
function,True,True,True,True,False,False,True,True,True,True,3,False,True,False,False,True,True,gate_A_arc_strict|gate_D_arc_loose_bridge
functions,True,False,True,True,False,False,True,True,True,True,3,False,True,False,False,True,True,gate_A_arc_strict|gate_D_arc_loose_bridge
further,True,True,True,True,False,False,True,True,True,True,3,False,True,False,False,True,True,gate_A_arc_strict|gate_D_arc_loose_bridge
generate,True,True,True,True,False,False,True,True,True,True,3,False,True,False,False,True,True,gate_A_arc_strict|gate_D_arc_loose_bridge
get,True,False,False,True,False,False,True,True,True,True,3,False,True,False,False,True,True,gate_A_arc_strict|gate_D_arc_loose_bridge
given,False,True,False,True,False,False,True,True,True,True,3,False,True,False,False,True,True,gate_A_arc_strict|gate_D_arc_loose_bridge
golden,False,True,True,True,False,False,True,True,True,True,3,False,True,False,False,True,True,gate_A_arc_strict|gate_D_arc_loose_bridge
graph,False,True,True,True,False,False,True,True,True,True,3,False,True,False,False,True,True,gate_A_arc_strict|gate_D_arc_loose_bridge
has,False,True,False,True,False,False,True,True,True,True,3,False,True,False,False,True,True,gate_A_arc_strict|gate_D_arc_loose_bridge
hash,True,True,False,True,False,False,True,True,True,True,3,False,True,False,False,True,True,gate_A_arc_strict|gate_D_arc_loose_bridge
