token,arc_hour_close_strict,arc_min_close_strict,arc_sec_close_strict,arc_loose_any,prime_top5_ge_0_60,prime_delta_mean_le_1_5,crt_any_corridor,has_any_bridge,has_residue_bridge,has_prime_tunnel,key_dispersion_W80,key_dispersion_le_1,gate_A_arc_strict,gate_B_prime,gate_C_collapse,gate_D_arc_loose_bridge,accepted,accepted_by
high,True,True,True,True,False,False,True,True,True,True,3,False,True,False,False,True,True,gate_A_arc_strict|gate_D_arc_loose_bridge
hodge,False,True,False,True,False,False,True,True,True,True,3,False,True,False,False,True,True,gate_A_arc_strict|gate_D_arc_loose_bridge
hypothesis,True,True,True,True,False,False,True,True,True,True,3,False,True,False,False,True,True,gate_A_arc_strict|gate_D_arc_loose_bridge
implement,False,True,True,True,False,False,True,True,True,True,3,False,True,False,False,True,True,gate_A_arc_strict|gate_D_arc_loose_bridge
include,False,False,True,True,False,False,True,True,True,True,3,False,True,False,False,True,True,gate_A_arc_strict|gate_D_arc_loose_bridge
initialize,False,True,True,True,False,False,True,True,True,True,3,False,True,False,False,True,True,gate_A_arc_strict|gate_D_arc_loose_bridge
insights,False,True,False,True,False,False,True,True,True,True,3,False,True,False,False,True,True,gate_A_arc_strict|gate_D_arc_loose_bridge
interaction,False,False,False,True,False,False,True,True,True,True,3,False,False,False,False,True,True,gate_D_arc_loose_bridge
is_valid_permutation,False,True,False,True,False,False,True,True,True,True,3,False,True,False,False,True,True,gate_A_arc_strict|gate_D_arc_loose_bridge
item,False,True,True,True,False,False,True,True,True,True,3,False,True,False,False,True,True,gate_A_arc_strict|gate_D_arc_loose_bridge
k-mer,False,True,True,True,False,False,True,True,True,True,3,False,True,False,False,True,True,gate_A_arc_strict|gate_D_arc_loose_bridge
key,True,False,False,True,False,False,True,True,True,True,3,False,True,False,False,True,True,gate_A_arc_strict|gate_D_arc_loose_bridge
knowledge,True,False,False,True,False,False,True,True,True,True,3,False,True,False,False,True,True,gate_A_arc_strict|gate_D_arc_loose_bridge
lambda,True,True,True,True,False,False,True,True,True,True,3,False,True,False,False,True,True,gate_A_arc_strict|gate_D_arc_loose_bridge
laminate,False,True,False,True,False,False,True,True,True,True,3,False,True,False,False,True,True,gate_A_arc_strict|gate_D_arc_loose_bridge
law,False,True,True,True,False,False,True,True,True,True,3,False,True,False,False,True,True,gate_A_arc_strict|gate_D_arc_loose_bridge
len,False,True,True,True,False,False,True,True,True,True,3,False,True,False,False,True,True,gate_A_arc_strict|gate_D_arc_loose_bridge
limbo_list,False,False,True,True,False,False,True,True,True,True,3,False,True,False,False,True,True,gate_A_arc_strict|gate_D_arc_loose_bridge
linalg,False,True,True,True,False,False,True,True,True,True,3,False,True,False,False,True,True,gate_A_arc_strict|gate_D_arc_loose_bridge
log,False,True,False,True,False,False,True,True,True,True,3,False,True,False,False,True,True,gate_A_arc_strict|gate_D_arc_loose_bridge
logger,False,False,False,True,False,False,True,True,True,True,3,False,False,False,False,True,True,gate_D_arc_loose_bridge
logic,False,True,True,True,False,False,True,True,True,True,3,False,True,False,False,True,True,gate_A_arc_strict|gate_D_arc_loose_bridge
map,False,True,True,True,False,False,True,True,True,True,3,False,True,False,False,True,True,gate_A_arc_strict|gate_D_arc_loose_bridge
mass,True,True,False,True,False,False,True,True,True,True,3,False,True,False,False,True,True,gate_A_arc_strict|gate_D_arc_loose_bridge
math,False,False,True,True,False,False,True,True,True,True,3,False,True,False,False,True,True,gate_A_arc_strict|gate_D_arc_loose_bridge
me,False,False,True,True,False,False,True,True,True,True,3,False,True,False,False,True,True,gate_A_arc_strict|gate_D_arc_loose_bridge
method,True,False,True,True,False,False,True,True,True,True,3,False,True,False,False,True,True,gate_A_arc_strict|gate_D_arc_loose_bridge
methods,False,True,True,True,False,False,True,True,True,True,3,False,True,False,False,True,True,gate_A_arc_strict|gate_D_arc_loose_bridge
metrics,True,True,True,True,False,False,True,True,True,True,3,False,True,False,False,True,True,gate_A_arc_strict|gate_D_arc_loose_bridge
min,False,False,True,True,False,False,True,True,True,True,3,False,True,False,False,True,True,gate_A_arc_strict|gate_D_arc_loose_bridge
missing,True,True,True,True,False,False,True,True,True,True,3,False,True,False,False,True,True,gate_A_arc_strict|gate_D_arc_loose_bridge
moderate,False,False,False,True,False,False,True,True,True,True,3,False,False,False,False,True,True,gate_D_arc_loose_bridge
most,False,False,True,True,False,False,True,True,True,True,3,False,True,False,False,True,True,gate_A_arc_strict|gate_D_arc_loose_bridge
name__,False,True,True,True,False,False,True,True,True,True,3,False,True,False,False,True,True,gate_A_arc_strict|gate_D_arc_loose_bridge
needed,True,False,False,True,False,False,True,True,True,True,3,False,True,False,False,True,True,gate_A_arc_strict|gate_D_arc_loose_bridge
next,True,True,False,True,False,False,True,True,True,True,3,False,True,False,False,True,True,gate_A_arc_strict|gate_D_arc_loose_bridge
no,True,True,True,True,False,False,True,True,True,True,3,False,True,False,False,True,True,gate_A_arc_strict|gate_D_arc_loose_bridge
not,True,False,True,True,False,False,True,True,True,True,3,False,True,False,False,True,True,gate_A_arc_strict|gate_D_arc_loose_bridge
np,True,True,True,True,False,False,True,True,True,True,3,False,True,False,False,True,True,gate_A_arc_strict|gate_D_arc_loose_bridge
objective,False,True,True,True,False,False,True,True,True,True,3,False,True,False,False,True,True,gate_A_arc_strict|gate_D_arc_loose_bridge
or,False,True,True,True,False,False,True,True,True,True,3,False,True,False,False,True,True,gate_A_arc_strict|gate_D_arc_loose_bridge
parity,False,False,True,True,False,False,True,True,True,True,3,False,True,False,False,True,True,gate_A_arc_strict|gate_D_arc_loose_bridge
performance,False,False,True,True,False,False,True,True,True,True,3,False,True,False,False,True,True,gate_A_arc_strict|gate_D_arc_loose_bridge
perm,False,True,False,True,False,False,True,True,True,True,3,False,True,False,False,True,True,gate_A_arc_strict|gate_D_arc_loose_bridge
permutation,False,False,True,True,False,False,True,True,True,True,3,False,True,False,False,True,True,gate_A_arc_strict|gate_D_arc_loose_bridge
permutations,False,False,True,True,False,False,True,True,True,True,3,False,True,False,False,True,True,gate_A_arc_strict|gate_D_arc_loose_bridge
potential,True,True,True,True,False,False,True,True,True,True,3,False,True,False,False,True,True,gate_A_arc_strict|gate_D_arc_loose_bridge
preservation,True,False,False,True,False,False,True,True,True,True,3,False,True,False,False,True,True,gate_A_arc_strict|gate_D_arc_loose_bridge
priority,True,True,True,True,False,False,True,True,True,True,3,False,True,False,False,True,True,gate_A_arc_strict|gate_D_arc_loose_bridge
progress,True,True,True,True,False,False,True,True,True,True,3,False,True,False,False,True,True,gate_A_arc_strict|gate_D_arc_loose_bridge
proof,True,False,True,True,False,False,True,True,True,True,3,False,True,False,False,True,True,gate_A_arc_strict|gate_D_arc_loose_bridge
py,False,True,True,True,False,False,True,True,True,True,3,False,True,False,False,True,True,gate_A_arc_strict|gate_D_arc_loose_bridge
pytest,False,True,True,True,False,False,True,True,True,True,3,False,True,False,False,True,True,gate_A_arc_strict|gate_D_arc_loose_bridge
quantum,False,True,True,True,False,False,True,True,True,True,3,False,True,False,False,True,True,gate_A_arc_strict|gate_D_arc_loose_bridge
ratio,False,False,True,True,False,False,True,True,True,True,3,False,True,False,False,True,True,gate_A_arc_strict|gate_D_arc_loose_bridge
re,False,False,False,True,False,False,True,True,True,True,3,False,False,False,False,True,True,gate_D_arc_loose_bridge
real,False,True,False,True,False,False,True,True,True,True,3,False,True,False,False,True,True,gate_A_arc_strict|gate_D_arc_loose_bridge
recursive,False,True,False,True,False,False,True,True,True,True,3,False,True,False,False,True,True,gate_A_arc_strict|gate_D_arc_loose_bridge
reference_channels,False,True,True,True,False,False,True,True,True,True,3,False,True,False,False,True,True,gate_A_arc_strict|gate_D_arc_loose_bridge
refine,True,True,False,True,False,False,True,True,True,True,3,False,True,False,False,True,True,gate_A_arc_strict|gate_D_arc_loose_bridge
representation,True,True,False,True,False,False,True,True,True,True,3,False,True,False,False,True,True,gate_A_arc_strict|gate_D_arc_loose_bridge
representations,True,True,False,True,False,False,True,True,True,True,3,False,True,False,False,True,True,gate_A_arc_strict|gate_D_arc_loose_bridge
result,True,False,True,True,False,False,True,True,True,True,3,False,True,False,False,True,True,gate_A_arc_strict|gate_D_arc_loose_bridge
roots,False,True,True,True,False,False,True,True,True,True,3,False,True,False,False,True,True,gate_A_arc_strict|gate_D_arc_loose_bridge
rules,False,True,True,True,False,False,True,True,True,True,3,False,True,False,False,True,True,gate_A_arc_strict|gate_D_arc_loose_bridge
run,False,False,True,True,False,False,True,True,True,True,3,False,True,False,False,True,True,gate_A_arc_strict|gate_D_arc_loose_bridge
said,False,True,True,True,False,False,True,True,True,True,3,False,True,False,False,True,True,gate_A_arc_strict|gate_D_arc_loose_bridge
scale,False,True,True,True,False,False,True,True,True,True,3,False,True,False,False,True,True,gate_A_arc_strict|gate_D_arc_loose_bridge
score,False,False,True,True,False,False,True,True,True,True,3,False,True,False,False,True,True,gate_A_arc_strict|gate_D_arc_loose_bridge
scores,False,True,False,True,False,False,True,True,True,True,3,False,True,False,False,True,True,gate_A_arc_strict|gate_D_arc_loose_bridge
segment,False,True,True,True,False,False,True,True,True,True,3,False,True,False,False,True,True,gate_A_arc_strict|gate_D_arc_loose_bridge
self,True,True,True,True,False,False,True,True,True,True,3,False,True,False,False,True,True,gate_A_arc_strict|gate_D_arc_loose_bridge
separation,True,False,True,True,False,False,True,True,True,True,3,False,True,False,False,True,True,gate_A_arc_strict|gate_D_arc_loose_bridge
setup,True,True,False,True,False,False,True,True,True,True,3,False,True,False,False,True,True,gate_A_arc_strict|gate_D_arc_loose_bridge
shell,True,True,False,True,False,False,True,True,True,True,3,False,True,False,False,True,True,gate_A_arc_strict|gate_D_arc_loose_bridge
show,False,False,True,True,False,False,True,True,True,True,3,False,True,False,False,True,True,gate_A_arc_strict|gate_D_arc_loose_bridge
signs,False,True,True,True,False,False,True,True,True,True,3,False,True,False,False,True,True,gate_A_arc_strict|gate_D_arc_loose_bridge
size,False,True,True,True,False,False,True,True,True,True,3,False,True,False,False,True,True,gate_A_arc_strict|gate_D_arc_loose_bridge
solution,False,True,True,True,False,False,True,True,True,True,3,False,True,False,False,True,True,gate_A_arc_strict|gate_D_arc_loose_bridge
specific,False,False,True,True,False,False,True,True,True,True,3,False,True,False,False,True,True,gate_A_arc_strict|gate_D_arc_loose_bridge
sqrt,True,False,False,True,False,False,True,True,True,True,3,False,True,False,False,True,True,gate_A_arc_strict|gate_D_arc_loose_bridge
start_time,False,True,False,True,False,False,True,True,True,True,3,False,True,False,False,True,True,gate_A_arc_strict|gate_D_arc_loose_bridge
state,False,False,False,True,False,False,True,True,True,True,3,False,False,False,False,True,True,gate_D_arc_loose_bridge
status,False,True,False,True,False,False,True,True,True,True,3,False,True,False,False,True,True,gate_A_arc_strict|gate_D_arc_loose_bridge
storage,True,True,True,True,False,False,True,True,True,True,3,False,True,False,False,True,True,gate_A_arc_strict|gate_D_arc_loose_bridge
strong,True,False,False,True,False,False,True,True,True,True,3,False,True,False,False,True,True,gate_A_arc_strict|gate_D_arc_loose_bridge
structures,True,True,False,True,False,False,True,True,True,True,3,False,True,False,False,True,True,gate_A_arc_strict|gate_D_arc_loose_bridge
systematic,False,True,True,True,False,False,True,True,True,True,3,False,True,False,False,True,True,gate_A_arc_strict|gate_D_arc_loose_bridge
tasks,False,False,True,True,False,False,True,True,True,True,3,False,True,False,False,True,True,gate_A_arc_strict|gate_D_arc_loose_bridge
tested,False,True,True,True,False,False,True,True,True,True,3,False,True,False,False,True,True,gate_A_arc_strict|gate_D_arc_loose_bridge
testing,False,True,True,True,False,False,True,True,True,True,3,False,True,False,False,True,True,gate_A_arc_strict|gate_D_arc_loose_bridge
tests,False,False,True,True,False,False,True,True,True,True,3,False,True,False,False,True,True,gate_A_arc_strict|gate_D_arc_loose_bridge
them,False,True,True,True,False,False,True,True,True,True,3,False,True,False,False,True,True,gate_A_arc_strict|gate_D_arc_loose_bridge
theorem,False,True,False,True,False,False,True,True,True,True,3,False,True,False,False,True,True,gate_A_arc_strict|gate_D_arc_loose_bridge
theory,False,True,False,True,False,False,True,True,True,True,3,False,True,False,False,True,True,gate_A_arc_strict|gate_D_arc_loose_bridge
these,False,True,False,True,False,False,True,True,True,True,3,False,True,False,False,True,True,gate_A_arc_strict|gate_D_arc_loose_bridge
three,True,False,True,True,False,False,True,True,True,True,3,False,True,False,False,True,True,gate_A_arc_strict|gate_D_arc_loose_bridge
traversal,False,True,True,True,False,False,True,True,True,True,3,False,True,False,False,True,True,gate_A_arc_strict|gate_D_arc_loose_bridge
truth,False,False,False,True,False,False,True,True,True,True,3,False,False,False,False,True,True,gate_D_arc_loose_bridge
tuple,False,True,False,True,False,False,True,True,True,True,3,False,True,False,False,True,True,gate_A_arc_strict|gate_D_arc_loose_bridge
turn,False,True,False,True,False,False,True,True,True,True,3,False,True,False,False,True,True,gate_A_arc_strict|gate_D_arc_loose_bridge
type,False,True,False,True,False,False,True,True,True,True,3,False,True,False,False,True,True,gate_A_arc_strict|gate_D_arc_loose_bridge
universal,True,False,True,True,False,False,True,True,True,True,3,False,True,False,False,True,True,gate_A_arc_strict|gate_D_arc_loose_bridge
until,True,True,True,True,False,False,True,True,True,True,3,False,True,False,False,True,True,gate_A_arc_strict|gate_D_arc_loose_bridge
used,False,True,False,True,False,False,True,True,True,True,3,False,True,False,False,True,True,gate_A_arc_strict|gate_D_arc_loose_bridge
validation,True,True,True,True,False,False,True,True,True,True,3,False,True,False,False,True,True,gate_A_arc_strict|gate_D_arc_loose_bridge
validator,True,False,True,True,False,False,True,True,True,True,3,False,True,False,False,True,True,gate_A_arc_strict|gate_D_arc_loose_bridge
value,True,True,True,True,False,False,True,True,True,True,3,False,True,False,False,True,True,gate_A_arc_strict|gate_D_arc_loose_bridge
variety,True,True,True,True,False,False,True,True,True,True,3,False,True,False,False,True,True,gate_A_arc_strict|gate_D_arc_loose_bridge
ve,True,True,True,True,False,False,True,True,True,True,3,False,True,False,False,True,True,gate_A_arc_strict|gate_D_arc_loose_bridge
vector,True,False,True,True,False,False,True,True,True,True,3,False,True,False,False,True,True,gate_A_arc_strict|gate_D_arc_loose_bridge
vs,True,True,True,True,False,False,True,True,True,True,3,False,True,False,False,True,True,gate_A_arc_strict|gate_D_arc_loose_bridge
was,True,True,False,True,False,False,True,True,True,True,3,False,True,False,False,True,True,gate_A_arc_strict|gate_D_arc_loose_bridge
weights,True,False,True,True,False,False,True,True,True,True,3,False,True,False,False,True,True,gate_A_arc_strict|gate_D_arc_loose_bridge
what,False,False,True,True,False,False,True,True,True,True,3,False,True,False,False,True,True,gate_A_arc_strict|gate_D_arc_loose_bridge
when,False,True,False,True,False,False,True,True,True,True,3,False,True,False,False,True,True,gate_A_arc_strict|gate_D_arc_loose_bridge
why,False,False,False,True,False,False,True,True,True,True,3,False,False,False,False,True,True,gate_D_arc_loose_bridge
will,False,True,True,True,False,False,True,True,True,True,3,False,True,False,False,True,True,gate_A_arc_strict|gate_D_arc_loose_bridge
winner,True,True,True,True,False,False,True,True,True,True,3,False,True,False,False,True,True,gate_A_arc_strict|gate_D_arc_loose_bridge
winners,True,False,True,True,False,False,True,True,True,True,3,False,True,False,False,True,True,gate_A_arc_strict|gate_D_arc_loose_bridge
work,True,True,True,True,False,False,True,True,True,True,3,False,True,False,False,True,True,gate_A_arc_strict|gate_D_arc_loose_bridge
would,True,True,True,True,False,False,True,True,True,True,3,False,True,False,False,True,True,gate_A_arc_strict|gate_D_arc_loose_bridge
write,False,True,True,True,False,False,True,True,True,True,3,False,True,False,False,True,True,gate_A_arc_strict|gate_D_arc_loose_bridge
yang-mills,False,False,True,True,False,False,True,True,True,True,3,False,True,False,False,True,True,gate_A_arc_strict|gate_D_arc_loose_bridge
year,False,False,False,True,False,False,True,True,True,True,3,False,False,False,False,True,True,gate_D_arc_loose_bridge
yes,False,True,False,True,False,False,True,True,True,True,3,False,True,False,False,True,True,gate_A_arc_strict|gate_D_arc_loose_bridge
you,False,True,False,True,False,False,True,True,True,True,3,False,True,False,False,True,True,gate_A_arc_strict|gate_D_arc_loose_bridge
