token,origin_x,pre_lambda2,post_lambda2,Δlambda2,pre_triad,post_triad,Δtriad,pre_mdl,post_mdl,Δmdl,band8_old,mod24_old,band8_new,mod24_new,Δband,Δmod24,pre_size,post_size,origin_y,H_pre,H_post,ΔH,C_pre,C_post,ΔC,Ceff_pre,Ceff_post,S_pre,S_post,reconnections,origin,label,is_anchor
PROOF_E8_DENSEST_AM2017,synthetic,0.0010477013556339,0.0010477013556339,0.0,0.0,0.0,0.0,-8.608286575078363,-8.608286575078363,0.0,4,11,4,11,0,0,98,98,synthetic,0.0,0.0,0.0,0,0,0,0,0,3,3,0,synthetic,FRONTIER,True
PROOF_LEECH_DENSEST_AM2017,synthetic,0.0015801287655393,0.0015801287655393,0.0,0.0,0.0,0.0,-8.608286575078363,-8.608286575078363,0.0,1,15,1,15,0,0,149,149,synthetic,0.0,0.0,0.0,0,0,0,0,0,3,3,0,synthetic,FRONTIER,True
PROOF_UNIVERSAL_OPTIMALITY_AM2022,synthetic,0.0012411750285463,0.0012411750285463,0.0,0.0,0.0,0.0,-8.608286575078363,-8.608286575078363,0.0,5,21,5,21,0,0,72,72,synthetic,0.0,0.0,0.0,0,0,0,0,0,3,3,0,synthetic,FRONTIER,True
CATALOG_NIEMEIER_24,synthetic,0.0027573791151482,0.0027573791151482,0.0,0.0,0.0,0.0,-8.608286575078363,-8.608286575078363,0.0,7,10,7,10,0,0,128,128,synthetic,0.0,0.0,0.0,0,0,0,0,0,3,3,0,synthetic,FRONTIER,True
DEEPPHOLE_LEECH_23_ORBITS,synthetic,0.0024837172491288,0.0024837172491288,0.0,0.0,0.0,0.0,-8.608286575078363,-8.608286575078363,0.0,1,5,1,5,0,0,145,145,synthetic,0.0,0.0,0.0,0,0,0,0,0,3,3,0,synthetic,FRONTIER,True
CODE_GOLAY_EXTENDED,synthetic,0.0027573791151482,0.0027573791151482,0.0,0.0,0.0,0.0,-8.608286575078363,-8.608286575078363,0.0,7,10,7,10,0,0,128,128,synthetic,0.0,0.0,0.0,0,0,0,0,0,3,3,0,synthetic,FRONTIER,True
CONSTRUCTION_A_TEMPLATE,synthetic,0.0014230332182683,0.0014230332182683,0.0,0.0,0.0,0.0,-8.608286575078363,-8.608286575078363,0.0,6,1,6,1,0,0,158,158,synthetic,0.0,0.0,0.0,0,0,0,0,0,3,3,0,synthetic,FRONTIER,True
TURYN_3xE8_TO_LEECH,synthetic,0.0015219610508531,0.0015219610508531,0.0,0.0,0.0,0.0,-8.608286575078363,-8.608286575078363,0.0,1,19,1,19,0,0,148,148,synthetic,0.0,0.0,0.0,0,0,0,0,0,3,3,0,synthetic,FRONTIER,True
E8_ROOT_SYSTEM_240,synthetic,0.0004516110220718,0.0004516110220718,0.0,0.0,0.0,0.0,-8.608286575078363,-8.608286575078363,0.0,4,7,4,7,0,0,160,160,synthetic,0.0,0.0,0.0,0,0,0,0,0,3,3,0,synthetic,FRONTIER,True
LEECH_MIN_SHELL_196560,synthetic,0.0072771605761859,0.0072771605761859,0.0,0.0,0.0,0.0,-8.608286575078363,-8.608286575078363,0.0,1,3,1,3,0,0,124,124,synthetic,0.0,0.0,0.0,0,0,0,0,0,3,3,0,synthetic,FRONTIER,True
E8_THETA_WEIGHT4,synthetic,0.0018488333574248,0.0018488333574248,0.0,0.0181818181818181,0.0181818181818181,0.0,-8.608286575078363,-8.608286575078363,0.0,7,17,7,17,0,0,203,203,synthetic,0.0,0.0,0.0,0,0,0,0,0,3,3,0,synthetic,FRONTIER,True
LEECH_NO_ROOTS_MIN4,synthetic,0.002160372803655,0.002160372803655,0.0,0.0,0.0,0.0,-8.608286575078363,-8.608286575078363,0.0,6,22,6,22,0,0,193,193,synthetic,0.0,0.0,0.0,0,0,0,0,0,3,3,0,synthetic,FRONTIER,True
CONWAY_GROUPS_AUT_LEECH,synthetic,0.0030936499884221,0.0030936499884221,0.0,0.0,0.0,0.0,-8.608286575078363,-8.608286575078363,0.0,4,1,4,1,0,0,143,143,synthetic,0.0,0.0,0.0,0,0,0,0,0,3,3,0,synthetic,FRONTIER,True
LAMINATED_LATTICES_SEQ,synthetic,0.0004510303390379,0.0004510303390379,0.0,0.0,0.0,0.0,-8.608286575078363,-8.608286575078363,0.0,1,2,1,2,0,0,206,206,synthetic,0.0,0.0,0.0,0,0,0,0,0,3,3,0,synthetic,FRONTIER,True
II_25_1_LORENTZ_CUT,synthetic,0.0040291925937436,0.0040291925937436,0.0,0.0,0.0,0.0,-8.608286575078363,-8.608286575078363,0.0,3,17,3,17,0,0,160,160,synthetic,0.0,0.0,0.0,0,0,0,0,0,3,3,0,synthetic,FRONTIER,True
WAVELET_FOURIER_SLICE,synthetic,0.0014931783806052,0.0014931783806052,0.0,0.0,0.0,0.0,-8.608286575078363,-8.608286575078363,0.0,3,3,3,3,0,0,87,87,synthetic,0.0,0.0,0.0,0,0,0,0,0,3,3,0,synthetic,FRONTIER,True
HODGE_SPLIT_GRAPH,synthetic,0.0007000943464527,0.0007000943464527,0.0,0.0,0.0,0.0,-8.608286575078363,-8.608286575078363,0.0,6,7,6,7,0,0,147,147,synthetic,0.0,0.0,0.0,0,0,0,0,0,3,3,0,synthetic,FRONTIER,True
SPECTRAL_GAP_RAYLEIGH,synthetic,0.0035679771158582,0.0035679771158582,0.0,0.0,0.0,0.0,-8.608286575078363,-8.608286575078363,0.0,7,13,7,13,0,0,140,140,synthetic,0.0,0.0,0.0,0,0,0,0,0,3,3,0,synthetic,FRONTIER,True
KOL_MDL_DELTA,synthetic,0.0012854478304392,0.0012854478304392,0.0,0.0181818181818181,0.0181818181818181,0.0,-8.608286575078363,-8.608286575078363,0.0,7,18,7,18,0,0,174,174,synthetic,0.0,0.0,0.0,0,0,0,0,0,3,3,0,synthetic,FRONTIER,True
UQ_CONFORMAL_90COVERAGE,synthetic,0.0051039807344542,0.0051039807344542,0.0,0.0,0.0,0.0,-8.608286575078363,-8.608286575078363,0.0,3,7,3,7,0,0,170,170,synthetic,0.0,0.0,0.0,0,0,0,0,0,3,3,0,synthetic,FRONTIER,True
SMT_GODEL_GATES,synthetic,0.0019195124947036,0.0019195124947036,0.0,0.0,0.0,0.0,-8.608286575078363,-8.608286575078363,0.0,3,6,3,6,0,0,325,325,synthetic,0.0,0.0,0.0,0,0,0,0,0,3,3,0,synthetic,FRONTIER,True
GROTH_SHEAF_GLUE,synthetic,0.000981666885014,0.000981666885014,0.0,0.0,0.0,0.0,-8.608286575078363,-8.608286575078363,0.0,1,22,1,22,0,0,128,128,synthetic,0.0,0.0,0.0,0,0,0,0,0,3,3,0,synthetic,FRONTIER,True
NOETHER_CONSERVATION,synthetic,0.005478976672442,0.005478976672442,0.0,0.0,0.0,0.0,-8.608286575078363,-8.608286575078363,0.0,7,16,7,16,0,0,167,167,synthetic,0.0,0.0,0.0,0,0,0,0,0,3,3,0,synthetic,FRONTIER,True
PARITY_64BIT_LANES,synthetic,0.0015261334546472,0.0015261334546472,0.0,0.0,0.0,0.0,-8.608286575078363,-8.608286575078363,0.0,3,15,3,15,0,0,113,113,synthetic,0.0,0.0,0.0,0,0,0,0,0,3,3,0,synthetic,FRONTIER,True
stability_score,natural,0.2362391388792963,0.2362391388792963,0.0,0.0,0.0,0.0,-3.261572150236525,-3.261572150236525,0.0,2,18,2,18,2,0,32,32,natural,-8.590274769269694,-6.872219815415756,1.7180549538539385,0,0,0,0,0,0,0,0,natural,FRONTIER,False
entity1,natural,,,,0.0,0.0,0.0,-3.930699043627792,-3.930699043627792,0.0,4,18,4,18,2,0,0,0,natural,-14.249595219541703,-11.399676175633363,2.84991904390834,0,0,0,0,0,0,0,0,natural,FRONTIER,False
hybrid_vector,natural,0.4488044204033424,0.4488044204033424,0.0,0.0,0.0,0.0,-3.604658176386395,-3.604658176386395,0.0,3,9,3,9,2,0,19,19,natural,11.16494739389842,8.931957915118735,-2.232989478779684,0,0,0,0,0,0,0,0,natural,FRONTIER,False
average_efficiency,natural,1.0,1.0,0.0,0.0,0.0,0.0,-3.932150314730508,-3.932150314730508,0.0,0,21,0,21,2,0,3,3,natural,-14.26494318387514,-11.411954547100112,2.8529886367750272,0,0,0,0,0,0,0,0,natural,FRONTIER,False
total_improvement_from_initial,natural,0.307597641148862,0.3076929158599688,9.527471110676312e-05,0.0,0.0,0.0,-3.715247417042294,-3.4205220701784893,0.2947253468638049,4,12,5,12,1,0,26,26,natural,-12.134118002121768,0.0,12.134118002121768,0,0,0,0,0,0,0,0,natural,FRONTIER,False
safeguards,natural,0.5473537374196468,0.5473537374196468,0.0,0.0,0.0,0.0,-3.352668305062512,-3.352668305062512,0.0,2,2,2,2,2,0,11,11,natural,9.21536115502458,7.372288924019664,-1.843072231004916,0,0,0,0,0,0,0,0,natural,FRONTIER,False
assertisinstance,natural,0.2030814990955494,0.2030814990955494,0.0,0.0,0.0,0.0,-3.0009605688907985,-3.0009605688907985,0.0,3,21,3,21,2,0,61,61,natural,7.0053282985824925,5.604262638865994,-1.4010656597164983,0,0,0,0,0,0,0,0,natural,FRONTIER,False
chamber_inner_products,natural,0.6779570896415014,0.6779570896415014,0.0,0.0,0.0,0.0,-3.930081030146222,-3.930081030146222,0.0,5,21,5,21,2,0,8,8,natural,14.243064083814428,11.394451267051544,-2.848612816762884,0,0,0,0,0,0,0,0,natural,FRONTIER,False
neighboring,natural,0.2686925430236128,0.2690502649939918,0.0003577219703789,0.0,0.0,0.0,-2.9407283830426967,-2.665026759148498,0.2757016238941987,7,4,6,4,1,0,22,22,natural,-6.677988413292857,0.0,6.677988413292857,0,0,0,0,0,0,0,0,natural,FRONTIER,False
promising,natural,0.4890614362679204,0.4938765922978447,0.0048151560299242,0.0,0.0,0.0,-2.8826677171088964,-2.6088331016506747,0.2738346154582216,1,20,0,20,1,0,11,11,natural,-6.375126101625563,0.0,6.375126101625563,0,0,0,0,0,0,0,0,natural,FRONTIER,False
scientifically,natural,1.0,1.0,1.1102230246251563e-16,0.0,0.0,0.0,-3.279866125031889,-2.9946025677391823,0.2852635572927067,5,15,6,15,1,0,5,5,natural,8.712657746715358,0.0,-8.712657746715358,0,0,0,0,0,0,0,0,natural,FRONTIER,False
updated_at,natural,0.9999999999999996,0.9999999999999996,0.0,0.0,0.0,0.0,-3.714965945366132,-3.714965945366132,0.0,5,19,5,19,2,0,4,4,natural,12.131555768597435,9.705244614877948,-2.426311153719487,0,0,0,0,0,0,0,0,natural,FRONTIER,False
root_groups,natural,0.3170642086987564,0.3170642086987564,0.0,0.0,0.0,0.0,-3.196771242884745,-3.196771242884745,0.0,2,11,2,11,2,0,25,25,natural,-8.16904350547616,-6.535234804380929,1.6338087010952318,0,0,0,0,0,0,0,0,natural,FRONTIER,False
overall_performance,natural,0.3397937752947188,0.3397937752947188,0.0,0.0,0.0,0.0,-3.334187648669966,-3.334187648669966,0.0,0,3,0,3,2,0,22,22,natural,9.085338828685604,7.268271062948483,-1.8170677657371208,0,0,0,0,0,0,0,0,natural,FRONTIER,False
organized,natural,1.0,1.0,0.0,0.0,0.0,0.0,-2.9773074329152625,-2.9773074329152625,0.0,3,3,3,3,2,0,3,3,natural,-6.875150162511926,-5.500120130009542,1.3750300325023843,0,0,0,0,0,0,0,0,natural,FRONTIER,False
validate_all_systems,natural,0.2154714245680832,0.2154714245680832,0.0,0.0,0.0,0.0,-3.278676038827488,-3.278676038827488,0.0,7,6,7,6,0,0,73,73,natural,0.0,0.0,0.0,0,0,0,0,0,0,0,0,natural,FRONTIER,False
globally,natural,0.6538611212505392,0.6679189324117784,0.0140578111612391,0.0,0.0,0.0,-3.2547271112459737,-2.97009977284793,0.2846273383980437,7,22,7,21,2,23,5,5,natural,8.544880339613702,0.0,-8.544880339613702,0,0,0,0,0,0,0,0,natural,FRONTIER,False
n_display,natural,0.4511179216643591,0.4517454063524323,0.0006274846880731,0.0,0.0,0.0,-3.813819226252755,-3.517313063886468,0.296506162366287,3,17,4,17,1,0,10,10,natural,13.062870746918286,0.0,-13.062870746918286,0,0,0,0,0,0,0,0,natural,FRONTIER,False
hinting,natural,1.0,1.0,0.0,0.0,0.0,0.0,-2.981109772620285,-2.981109772620285,0.0,1,2,1,2,2,0,3,3,natural,6.895933134588448,5.516746507670759,-1.3791866269176891,0,0,0,0,0,0,0,0,natural,FRONTIER,False
both,natural,0.8057439837828939,0.8057439837828939,0.0,0.0,0.0,0.0,-2.9874537985302343,-2.9874537985302343,0.0,3,9,3,9,2,0,4,4,natural,-6.930730718594932,-5.5445845748759455,1.386146143718986,0,0,0,0,0,0,0,0,natural,FRONTIER,False
view-only,natural,0.6729432648660657,0.6790807588001134,0.0061374939340477,0.0,0.0,0.0,-3.779765735896128,-3.483861328876948,0.2959044070191794,3,5,3,6,2,1,7,7,natural,12.734816549234084,0.0,-12.734816549234084,0,0,0,0,0,0,0,0,natural,FRONTIER,False
largest,natural,0.7149781428672854,0.7149781428672854,0.0,0.0,0.0,0.0,-3.813634092951116,-3.813634092951116,0.0,0,9,0,9,2,0,6,6,natural,13.06106625007154,10.448853000057234,-2.6122132500143067,0,0,0,0,0,0,0,0,natural,FRONTIER,False
pulse_exploration,natural,0.29325245335452,0.29325245335452,0.0,0.0,0.0,0.0,-3.397563502335465,-3.397563502335465,0.0,4,10,4,10,2,0,43,43,natural,9.538250708642313,7.63060056691385,-1.907650141728462,0,0,0,0,0,0,0,0,natural,FRONTIER,False
researchtargets,natural,0.2780266433914071,0.2780266433914071,0.0,0.0,0.0,0.0,-3.352500020488113,-3.352500020488113,0.0,2,16,2,16,2,0,34,34,natural,-9.21416964372306,-7.371335714978449,1.842833928744612,0,0,0,0,0,0,0,0,natural,FRONTIER,False
layout_memor_finaly,natural,0.2771442996615141,0.2771442996615141,0.0,0.0,0.0,0.0,-3.1995949353094293,-3.1995949353094293,0.0,1,14,1,14,2,0,80,80,natural,-8.187007046930393,-6.549605637544315,1.6374014093860785,0,0,0,0,0,0,0,0,natural,FRONTIER,False
opt_score,natural,0.9999999999999984,0.9999999999999984,0.0,0.0,0.0,0.0,-3.1163673789303794,-3.1163673789303794,0.0,7,21,7,21,2,0,12,12,natural,-7.672015762218013,-6.137612609774411,1.534403152443602,0,0,0,0,0,0,0,0,natural,FRONTIER,False
rotation_2d,natural,0.4059543414365789,0.4059543414365789,0.0,0.0,0.0,0.0,-3.6677160570095113,-3.6677160570095113,0.0,7,20,7,20,0,0,15,15,natural,0.0,0.0,0.0,0,0,0,0,0,0,0,0,natural,FRONTIER,False
languagetype,natural,1.0,1.0,0.0,0.0,0.0,0.0,-3.631681260903289,-3.631681260903289,0.0,3,12,3,12,2,0,7,7,natural,-11.394956136655928,-9.115964909324743,2.2789912273311845,0,0,0,0,0,0,0,0,natural,FRONTIER,False
executable,natural,0.3551512438497909,0.3551512438497909,0.0,0.0,0.0,0.0,-3.373658293735092,-3.373658293735092,0.0,0,17,0,17,2,0,15,15,natural,-9.36507243696164,-7.492057949569312,1.873014487392328,0,0,0,0,0,0,0,0,natural,FRONTIER,False
pathways_per_problem,natural,,,,0.0,0.0,0.0,-3.9043495437025673,-3.9043495437025673,0.0,3,12,3,12,2,0,0,0,natural,0.0,0.0,0.0,0,0,0,0,0,0,0,0,natural,FRONTIER,False
winners_losers_data_n8,natural,0.2624665179397194,0.2624665179397194,0.0,0.0,0.0,0.0,-3.4930805540847887,-3.4930805540847887,0.0,7,17,7,17,2,0,20,20,natural,-10.25957567288104,-8.207660538304832,2.0519151345762072,0,0,0,0,0,0,0,0,natural,FRONTIER,False
d4,natural,,,,0.0,0.0,0.0,-3.892203757455568,-3.892203757455568,0.0,7,20,7,20,2,0,0,0,natural,-13.848072526737342,-11.078458021389874,2.769614505347468,0,0,0,0,0,0,0,0,natural,FRONTIER,False
memory_usage,natural,1.0000000000000002,0.9999999999999998,-4.440892098500626e-16,0.0,0.0,0.0,-3.928383795294086,-3.6299526640698554,0.2984311312242313,3,7,4,7,1,0,3,3,natural,-14.225142175817163,0.0,14.225142175817163,0,0,0,0,0,0,0,0,natural,FRONTIER,False
weeks,natural,0.2793241953286368,0.2793241953286368,0.0,0.0,0.0,0.0,-2.982278157693315,-2.982278157693315,0.0,4,20,4,20,2,0,30,30,natural,-6.9023303473396025,-5.521864277871682,1.3804660694679205,0,0,0,0,0,0,0,0,natural,FRONTIER,False
backends,natural,0.4312018915206238,0.4312018915206238,0.0,0.0,0.0,0.0,-3.3806991411305827,-3.3806991411305827,0.0,3,13,3,13,0,0,10,10,natural,0.0,0.0,0.0,0,0,0,0,0,0,0,0,natural,FRONTIER,False
einstein,natural,0.4257656969855887,0.4257656969855887,0.0,0.0,0.0,0.0,-3.486868626203488,-3.486868626203488,0.0,7,17,7,17,2,0,12,12,natural,10.211198638979964,8.16895891118397,-2.0422397277959927,0,0,0,0,0,0,0,0,natural,FRONTIER,False
strict_enforcement,natural,0.2154714245680832,0.2154714245680832,0.0,0.0,0.0,0.0,-3.156421395374017,-3.156421395374017,0.0,7,7,7,7,0,0,73,73,natural,0.0,0.0,0.0,0,0,0,0,0,0,0,0,natural,FRONTIER,False
uptime,natural,0.3425371061389441,0.3425371061389441,0.0,0.0,0.0,0.0,-3.0454131029731317,-3.0454131029731317,0.0,5,13,5,13,2,0,23,23,natural,7.255829079674831,5.804663263739865,-1.4511658159349654,0,0,0,0,0,0,0,0,natural,FRONTIER,False
kahler_manifold,natural,0.2154714245680832,0.2154714245680832,0.0,0.0,0.0,0.0,-3.120383039049593,-3.120383039049593,0.0,4,9,4,9,2,0,73,73,natural,-7.696187452695392,-6.156949962156315,1.5392374905390778,0,0,0,0,0,0,0,0,natural,FRONTIER,False
all_efficiencies,natural,0.212613250981703,0.212613250981703,0.0,0.0,0.0,0.0,-3.2488875623680102,-3.2488875623680102,0.0,3,15,3,15,2,0,43,43,natural,8.506323928361217,6.805059142688974,-1.701264785672243,0,0,0,0,0,0,0,0,natural,FRONTIER,False
2-4,natural,0.4480730875306609,0.4482440749190571,0.0001709873883962,0.0,0.0,0.0,-3.3213711500445653,-3.0350805514668613,0.286290598577704,6,21,5,21,1,0,13,13,natural,8.996140297581734,0.0,-8.996140297581734,0,0,0,0,0,0,0,0,natural,FRONTIER,False
outreach,natural,,,,0.0,0.0,0.0,-3.713468459682208,-3.713468459682208,0.0,3,8,3,8,2,0,0,0,natural,-12.11793257438083,-9.694346059504666,2.423586514876165,0,0,0,0,0,0,0,0,natural,FRONTIER,False
zeros_simple,natural,0.2154714245680832,0.2153891491903264,-8.227537775676308e-05,0.0,0.0,0.0,-3.209855829391756,-3.4466660772597333,-0.2368102478679774,6,22,7,23,1,1,73,73,natural,8.252580801219779,0.0,-8.252580801219779,0,0,0,0,0,0,0,1,natural,FRONTIER,False
sensor,natural,,,,0.0,0.0,0.0,-3.713872245186521,-3.713872245186521,0.0,7,16,7,16,2,0,0,0,natural,12.121604571708756,9.697283657367006,-2.4243209143417506,0,0,0,0,0,0,0,0,natural,FRONTIER,False
from,natural,0.725619317322752,0.725619317322752,0.0,0.0,0.0,0.0,-2.8867524914888327,-2.8867524914888327,0.0,2,3,2,3,2,0,8,8,natural,0.0,0.0,0.0,0,0,0,0,0,0,0,0,natural,FRONTIER,False
multipole,natural,0.3711458820569172,0.3711458820569172,0.0,0.0,0.0,0.0,-3.655163979710597,-3.655163979710597,0.0,1,15,1,15,2,0,10,10,natural,0.0,0.0,0.0,0,0,0,0,0,0,0,0,natural,FRONTIER,False
academic_publication_portfolio,natural,0.193339134252455,0.193339134252455,0.0,0.0,0.0,0.0,-3.189929763021188,-3.189929763021188,0.0,3,19,3,19,2,0,54,54,natural,8.125665437090944,6.500532349672756,-1.6251330874181882,0,0,0,0,0,0,0,0,natural,FRONTIER,False
ndecomposition,natural,0.6693323404583872,0.6693323404583872,0.0,0.0,0.0,0.0,-4.012808210323355,-4.012808210323355,0.0,3,2,3,2,2,0,6,6,natural,-15.14268001562519,-12.114144012500152,3.028536003125037,0,0,0,0,0,0,0,0,natural,FRONTIER,False
collaborative,natural,0.3740053590906591,0.3740053590906591,0.0,0.0,0.0,0.0,-2.999336836418318,-2.999336836418318,0.0,5,5,5,5,0,0,17,17,natural,0.0,0.0,0.0,0,0,0,0,0,0,0,0,natural,FRONTIER,False
int_,natural,0.3341187706185764,0.3341187706185764,0.0,0.0,0.0,0.0,-3.215387374556806,-3.215387374556806,0.0,5,2,5,2,2,0,47,47,natural,8.288124912240205,6.6304999297921645,-1.6576249824480405,0,0,0,0,0,0,0,0,natural,FRONTIER,False
