token,origin,pre_lambda2,post_lambda2,Δlambda2,pre_triad,post_triad,Δtriad,pre_mdl,post_mdl,Δmdl,band8_old,mod24_old,band8_new,mod24_new,Δband,Δmod24,pre_size,post_size
PROOF_E8_DENSEST_AM2017,synthetic,0.0010477013556339932,0.0010477013556339932,0.0,0.0,0.0,0.0,-8.608286575078363,-8.608286575078363,0.0,4,11,4,11,0,0,98,98
PROOF_LEECH_DENSEST_AM2017,synthetic,0.0015801287655393315,0.0015801287655393315,0.0,0.0,0.0,0.0,-8.608286575078363,-8.608286575078363,0.0,1,15,1,15,0,0,149,149
PROOF_UNIVERSAL_OPTIMALITY_AM2022,synthetic,0.0012411750285463887,0.0012411750285463887,0.0,0.0,0.0,0.0,-8.608286575078363,-8.608286575078363,0.0,5,21,5,21,0,0,72,72
CATALOG_NIEMEIER_24,synthetic,0.002757379115148245,0.002757379115148245,0.0,0.0,0.0,0.0,-8.608286575078363,-8.608286575078363,0.0,7,10,7,10,0,0,128,128
DEEPPHOLE_LEECH_23_ORBITS,synthetic,0.002483717249128837,0.002483717249128837,0.0,0.0,0.0,0.0,-8.608286575078363,-8.608286575078363,0.0,1,5,1,5,0,0,145,145
CODE_GOLAY_EXTENDED,synthetic,0.002757379115148245,0.002757379115148245,0.0,0.0,0.0,0.0,-8.608286575078363,-8.608286575078363,0.0,7,10,7,10,0,0,128,128
CONSTRUCTION_A_TEMPLATE,synthetic,0.0014230332182683365,0.0014230332182683365,0.0,0.0,0.0,0.0,-8.608286575078363,-8.608286575078363,0.0,6,1,6,1,0,0,158,158
TURYN_3xE8_TO_LEECH,synthetic,0.0015219610508531401,0.0015219610508531401,0.0,0.0,0.0,0.0,-8.608286575078363,-8.608286575078363,0.0,1,19,1,19,0,0,148,148
E8_ROOT_SYSTEM_240,synthetic,0.0004516110220718957,0.0004516110220718957,0.0,0.0,0.0,0.0,-8.608286575078363,-8.608286575078363,0.0,4,7,4,7,0,0,160,160
LEECH_MIN_SHELL_196560,synthetic,0.0072771605761859474,0.0072771605761859474,0.0,0.0,0.0,0.0,-8.608286575078363,-8.608286575078363,0.0,1,3,1,3,0,0,124,124
E8_THETA_WEIGHT4,synthetic,0.0018488333574248818,0.0018488333574248818,0.0,0.01818181818181818,0.01818181818181818,0.0,-8.608286575078363,-8.608286575078363,0.0,7,17,7,17,0,0,203,203
LEECH_NO_ROOTS_MIN4,synthetic,0.002160372803655086,0.002160372803655086,0.0,0.0,0.0,0.0,-8.608286575078363,-8.608286575078363,0.0,6,22,6,22,0,0,193,193
CONWAY_GROUPS_AUT_LEECH,synthetic,0.0030936499884221262,0.0030936499884221262,0.0,0.0,0.0,0.0,-8.608286575078363,-8.608286575078363,0.0,4,1,4,1,0,0,143,143
LAMINATED_LATTICES_SEQ,synthetic,0.0004510303390379963,0.0004510303390379963,0.0,0.0,0.0,0.0,-8.608286575078363,-8.608286575078363,0.0,1,2,1,2,0,0,206,206
II_25_1_LORENTZ_CUT,synthetic,0.004029192593743635,0.004029192593743635,0.0,0.0,0.0,0.0,-8.608286575078363,-8.608286575078363,0.0,3,17,3,17,0,0,160,160
WAVELET_FOURIER_SLICE,synthetic,0.0014931783806052853,0.0014931783806052853,0.0,0.0,0.0,0.0,-8.608286575078363,-8.608286575078363,0.0,3,3,3,3,0,0,87,87
HODGE_SPLIT_GRAPH,synthetic,0.0007000943464527359,0.0007000943464527359,0.0,0.0,0.0,0.0,-8.608286575078363,-8.608286575078363,0.0,6,7,6,7,0,0,147,147
SPECTRAL_GAP_RAYLEIGH,synthetic,0.003567977115858299,0.003567977115858299,0.0,0.0,0.0,0.0,-8.608286575078363,-8.608286575078363,0.0,7,13,7,13,0,0,140,140
KOL_MDL_DELTA,synthetic,0.0012854478304392901,0.0012854478304392901,0.0,0.01818181818181818,0.01818181818181818,0.0,-8.608286575078363,-8.608286575078363,0.0,7,18,7,18,0,0,174,174
UQ_CONFORMAL_90COVERAGE,synthetic,0.005103980734454243,0.005103980734454243,0.0,0.0,0.0,0.0,-8.608286575078363,-8.608286575078363,0.0,3,7,3,7,0,0,170,170
SMT_GODEL_GATES,synthetic,0.0019195124947036914,0.0019195124947036914,0.0,0.0,0.0,0.0,-8.608286575078363,-8.608286575078363,0.0,3,6,3,6,0,0,325,325
GROTH_SHEAF_GLUE,synthetic,0.0009816668850140718,0.0009816668850140718,0.0,0.0,0.0,0.0,-8.608286575078363,-8.608286575078363,0.0,1,22,1,22,0,0,128,128
NOETHER_CONSERVATION,synthetic,0.005478976672442099,0.005478976672442099,0.0,0.0,0.0,0.0,-8.608286575078363,-8.608286575078363,0.0,7,16,7,16,0,0,167,167
PARITY_64BIT_LANES,synthetic,0.001526133454647221,0.001526133454647221,0.0,0.0,0.0,0.0,-8.608286575078363,-8.608286575078363,0.0,3,15,3,15,0,0,113,113
stability_score,natural,0.23623913887929632,0.23623913887929632,0.0,0.0,0.0,0.0,-3.261572150236525,-3.261572150236525,0.0,2,18,2,18,2,0,32,32
entity1,natural,,,,0.0,0.0,0.0,-3.930699043627792,-3.930699043627792,0.0,4,18,4,18,2,0,0,0
hybrid_vector,natural,0.44880442040334245,0.44880442040334245,0.0,0.0,0.0,0.0,-3.604658176386395,-3.604658176386395,0.0,3,9,3,9,2,0,19,19
average_efficiency,natural,0.9999999999999999,0.9999999999999999,0.0,0.0,0.0,0.0,-3.932150314730508,-3.932150314730508,0.0,0,21,0,21,2,0,3,3
total_improvement_from_initial,natural,0.30759764114886207,0.30769291585996883,9.527471110676311e-05,0.0,0.0,0.0,-3.715247417042294,-3.4205220701784893,0.2947253468638049,4,12,5,12,1,0,26,26
safeguards,natural,0.5473537374196468,0.5473537374196468,0.0,0.0,0.0,0.0,-3.3526683050625117,-3.3526683050625117,0.0,2,2,2,2,2,0,11,11
assertisinstance,natural,0.20308149909554946,0.20308149909554946,0.0,0.0,0.0,0.0,-3.0009605688907985,-3.0009605688907985,0.0,3,21,3,21,2,0,61,61
chamber_inner_products,natural,0.6779570896415014,0.6779570896415014,0.0,0.0,0.0,0.0,-3.930081030146222,-3.930081030146222,0.0,5,21,5,21,2,0,8,8
neighboring,natural,0.26869254302361284,0.2690502649939918,0.0003577219703789769,0.0,0.0,0.0,-2.9407283830426967,-2.665026759148498,0.2757016238941987,7,4,6,4,1,0,22,22
promising,natural,0.4890614362679204,0.4938765922978447,0.004815156029924272,0.0,0.0,0.0,-2.8826677171088964,-2.6088331016506747,0.27383461545822163,1,20,0,20,1,0,11,11
scientifically,natural,0.9999999999999999,1.0,1.1102230246251565e-16,0.0,0.0,0.0,-3.279866125031889,-2.9946025677391823,0.2852635572927067,5,15,6,15,1,0,5,5
updated_at,natural,0.9999999999999997,0.9999999999999997,0.0,0.0,0.0,0.0,-3.7149659453661323,-3.7149659453661323,0.0,5,19,5,19,2,0,4,4
root_groups,natural,0.31706420869875646,0.31706420869875646,0.0,0.0,0.0,0.0,-3.1967712428847452,-3.1967712428847452,0.0,2,11,2,11,2,0,25,25
overall_performance,natural,0.3397937752947188,0.3397937752947188,0.0,0.0,0.0,0.0,-3.334187648669966,-3.334187648669966,0.0,0,3,0,3,2,0,22,22
organized,natural,1.0,1.0,0.0,0.0,0.0,0.0,-2.9773074329152625,-2.9773074329152625,0.0,3,3,3,3,2,0,3,3
validate_all_systems,natural,0.21547142456808321,0.21547142456808321,0.0,0.0,0.0,0.0,-3.278676038827488,-3.278676038827488,0.0,7,6,7,6,0,0,73,73
globally,natural,0.6538611212505392,0.6679189324117784,0.014057811161239164,0.0,0.0,0.0,-3.2547271112459737,-2.97009977284793,0.28462733839804377,7,22,7,21,2,23,5,5
n_display,natural,0.45111792166435916,0.4517454063524323,0.0006274846880731655,0.0,0.0,0.0,-3.813819226252755,-3.517313063886468,0.296506162366287,3,17,4,17,1,0,10,10
hinting,natural,1.0,1.0,0.0,0.0,0.0,0.0,-2.981109772620285,-2.981109772620285,0.0,1,2,1,2,2,0,3,3
both,natural,0.8057439837828939,0.8057439837828939,0.0,0.0,0.0,0.0,-2.9874537985302343,-2.9874537985302343,0.0,3,9,3,9,2,0,4,4
view-only,natural,0.6729432648660657,0.6790807588001134,0.006137493934047722,0.0,0.0,0.0,-3.7797657358961274,-3.483861328876948,0.2959044070191794,3,5,3,6,2,1,7,7
largest,natural,0.7149781428672854,0.7149781428672854,0.0,0.0,0.0,0.0,-3.8136340929511157,-3.8136340929511157,0.0,0,9,0,9,2,0,6,6
pulse_exploration,natural,0.29325245335452005,0.29325245335452005,0.0,0.0,0.0,0.0,-3.397563502335465,-3.397563502335465,0.0,4,10,4,10,2,0,43,43
researchtargets,natural,0.2780266433914071,0.2780266433914071,0.0,0.0,0.0,0.0,-3.3525000204881135,-3.3525000204881135,0.0,2,16,2,16,2,0,34,34
layout_memor_finaly,natural,0.2771442996615141,0.2771442996615141,0.0,0.0,0.0,0.0,-3.1995949353094293,-3.1995949353094293,0.0,1,14,1,14,2,0,80,80
opt_score,natural,0.9999999999999983,0.9999999999999983,0.0,0.0,0.0,0.0,-3.1163673789303794,-3.1163673789303794,0.0,7,21,7,21,2,0,12,12
rotation_2d,natural,0.4059543414365789,0.4059543414365789,0.0,0.0,0.0,0.0,-3.6677160570095113,-3.6677160570095113,0.0,7,20,7,20,0,0,15,15
languagetype,natural,1.0,1.0,0.0,0.0,0.0,0.0,-3.631681260903289,-3.631681260903289,0.0,3,12,3,12,2,0,7,7
executable,natural,0.35515124384979097,0.35515124384979097,0.0,0.0,0.0,0.0,-3.373658293735092,-3.373658293735092,0.0,0,17,0,17,2,0,15,15
pathways_per_problem,natural,,,,0.0,0.0,0.0,-3.9043495437025673,-3.9043495437025673,0.0,3,12,3,12,2,0,0,0
winners_losers_data_n8,natural,0.2624665179397194,0.2624665179397194,0.0,0.0,0.0,0.0,-3.4930805540847887,-3.4930805540847887,0.0,7,17,7,17,2,0,20,20
d4,natural,,,,0.0,0.0,0.0,-3.892203757455568,-3.892203757455568,0.0,7,20,7,20,2,0,0,0
memory_usage,natural,1.0000000000000002,0.9999999999999998,-4.440892098500626e-16,0.0,0.0,0.0,-3.928383795294086,-3.6299526640698545,0.29843113122423137,3,7,4,7,1,0,3,3
weeks,natural,0.27932419532863684,0.27932419532863684,0.0,0.0,0.0,0.0,-2.982278157693315,-2.982278157693315,0.0,4,20,4,20,2,0,30,30
backends,natural,0.4312018915206238,0.4312018915206238,0.0,0.0,0.0,0.0,-3.3806991411305827,-3.3806991411305827,0.0,3,13,3,13,0,0,10,10
einstein,natural,0.4257656969855887,0.4257656969855887,0.0,0.0,0.0,0.0,-3.4868686262034876,-3.4868686262034876,0.0,7,17,7,17,2,0,12,12
strict_enforcement,natural,0.21547142456808321,0.21547142456808321,0.0,0.0,0.0,0.0,-3.1564213953740166,-3.1564213953740166,0.0,7,7,7,7,0,0,73,73
uptime,natural,0.34253710613894417,0.34253710613894417,0.0,0.0,0.0,0.0,-3.0454131029731313,-3.0454131029731313,0.0,5,13,5,13,2,0,23,23
kahler_manifold,natural,0.21547142456808321,0.21547142456808321,0.0,0.0,0.0,0.0,-3.120383039049593,-3.120383039049593,0.0,4,9,4,9,2,0,73,73
all_efficiencies,natural,0.21261325098170303,0.21261325098170303,0.0,0.0,0.0,0.0,-3.2488875623680102,-3.2488875623680102,0.0,3,15,3,15,2,0,43,43
2-4,natural,0.4480730875306609,0.4482440749190571,0.0001709873883962154,0.0,0.0,0.0,-3.3213711500445653,-3.0350805514668613,0.286290598577704,6,21,5,21,1,0,13,13
outreach,natural,,,,0.0,0.0,0.0,-3.713468459682208,-3.713468459682208,0.0,3,8,3,8,2,0,0,0
zeros_simple,natural,0.21547142456808321,0.21538914919032645,-8.227537775676308e-05,0.0,0.0,0.0,-3.209855829391756,-3.4466660772597333,-0.23681024786797744,6,22,7,23,1,1,73,73
sensor,natural,,,,0.0,0.0,0.0,-3.713872245186521,-3.713872245186521,0.0,7,16,7,16,2,0,0,0
from,natural,0.725619317322752,0.725619317322752,0.0,0.0,0.0,0.0,-2.8867524914888327,-2.8867524914888327,0.0,2,3,2,3,2,0,8,8
multipole,natural,0.3711458820569172,0.3711458820569172,0.0,0.0,0.0,0.0,-3.655163979710597,-3.655163979710597,0.0,1,15,1,15,2,0,10,10
academic_publication_portfolio,natural,0.19333913425245502,0.19333913425245502,0.0,0.0,0.0,0.0,-3.1899297630211882,-3.1899297630211882,0.0,3,19,3,19,2,0,54,54
ndecomposition,natural,0.6693323404583872,0.6693323404583872,0.0,0.0,0.0,0.0,-4.012808210323355,-4.012808210323355,0.0,3,2,3,2,2,0,6,6
collaborative,natural,0.37400535909065913,0.37400535909065913,0.0,0.0,0.0,0.0,-2.999336836418318,-2.999336836418318,0.0,5,5,5,5,0,0,17,17
int_,natural,0.3341187706185764,0.3341187706185764,0.0,0.0,0.0,0.0,-3.215387374556806,-3.215387374556806,0.0,5,2,5,2,2,0,47,47
